maDiaDiem,tenDiaDiem,moTa,diaChi,maTinhThanh,loaiDiaDiem,viDo,kinhDo,giaVe,gioMoCua,gioDongCua,dienThoai,website,danhGiaTrungBinh,soLuotDanhGia,soLuotXem,maNguoiTao,ngayTao,lanCapNhatCuoi,trangThai,dacDiem,tienNghi
1,Sanghe condotel,,"lô 51-52, đường Hồ Hán Thương, Quận Sơn Trà, Thành phố Đà Nẵng",60,khach_san,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""cslt"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/cslt/?item=8704"", ""email"": """", ""item_id"": ""8704"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
2,khách sạn thúy phương2,,"tổ 8 phường yên thịnh, Thành phố Yên Bái, Lào Cai",34,khach_san,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""cslt"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/cslt/?item=8960"", ""email"": """", ""item_id"": ""8960"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
3,Nhà Nghỉ Huyền Linh,,"Đông Thái Đông Tiến, Huyện Yên Phong",22,khach_san,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""cslt"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/cslt/?item=9216"", ""email"": """", ""item_id"": ""9216"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
4,Nhà Nghỉ Ngọc Minh,,"Số 03, tổ 04, phường Mường Thanh, Thành phố Điện Biên Phủ, Điện Biên",15,khach_san,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""cslt"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/cslt/?item=9728"", ""email"": """", ""item_id"": ""9728"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
5,NHÀ NGHỈ CAO NGUYÊN,,"TIỂU KHU NHÀ NGHỈ, Thảo Nguyên, Huyện Mộc Châu, Sơn La",48,khach_san,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""cslt"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/cslt/?item=9984"", ""email"": """", ""item_id"": ""9984"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
6,Khách sạn Khánh Đăng,,"1599 Phạm Văn Thuận, Thống Nhất, Thành phố Biên Hòa, Đồng Nai, Thành phố Biên Hòa, Đồng Nai",16,khach_san,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""cslt"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/cslt/?item=10496"", ""email"": """", ""item_id"": ""10496"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
7,Nhà nghỉ Cây Xoài,,"Khu Sa Đéc, phường Hùng vương, thị xã Phú thọ, tỉnh Phú Thọ, Phú Thọ, Thị xã Phú Thọ, Phú Thọ",40,khach_san,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""cslt"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/cslt/?item=11008"", ""email"": """", ""item_id"": ""11008"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
8,Nhà Nghỉ Mai Trang,,"34 phố Tân Ấp, Quận Ba Đình, Thành phố Hà Nội",21,khach_san,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""cslt"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/cslt/?item=11264"", ""email"": """", ""item_id"": ""11264"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
9,Blossom homestay,,"04/21 Nguyễn du. Tp Tuy Hòa. Phú Yên, Thành phố Tuy Hoà, Phú Yên",41,khach_san,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""cslt"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/cslt/?item=11520"", ""email"": """", ""item_id"": ""11520"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
10,Nhà nghỉ long huyền,,"Thôn Thị- Mỹ Hà, Huyện Lạng Giang, Bắc Ninh",5,khach_san,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:38:12,2026-05-27 16:38:12,active,"{""category"": ""cslt"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/cslt/?item=12288"", ""email"": """", ""item_id"": ""12288"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
