maDiaDiem,tenDiaDiem,moTa,diaChi,maTinhThanh,loaiDiaDiem,viDo,kinhDo,giaVe,gioMoCua,gioDongCua,dienThoai,website,danhGiaTrungBinh,soLuotDanhGia,soLuotXem,maNguoiTao,ngayTao,lanCapNhatCuoi,trangThai,dacDiem,tienNghi
1,April Spa & Clinic Phan Rang,,"121 Quang Trung, Thành phố Phan Rang-Tháp Chàm, Ninh Thuận",39,khac,0.0,0.0,0.0,,,02593552555,,0.0,0,0,,2026-05-27 16:51:52,2026-05-27 16:51:52,active,"{""category"": ""cssk"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/cssk/?item=21"", ""email"": """", ""item_id"": ""21"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
2,Venice Spa & Beauty Center Phan Rang,,"100B/2 Lê Lợi, Phan Rang, Thành phố Phan Rang-Tháp Chàm, Ninh Thuận",39,khac,0.0,0.0,0.0,,,02593553688,,0.0,0,0,,2026-05-27 16:51:52,2026-05-27 16:51:52,active,"{""category"": ""cssk"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/cssk/?item=5"", ""email"": ""venicespapr@gmail.com"", ""item_id"": ""5"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
3,Massage & Spa Tuyết Vi Phan Rang,,"287 Yết Kiêu, Thành phố Phan Rang-Tháp Chàm, Ninh Thuận",39,khac,0.0,0.0,0.0,,,02593823357,,0.0,0,0,,2026-05-27 16:51:52,2026-05-27 16:51:52,active,"{""category"": ""cssk"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/cssk/?item=9"", ""email"": """", ""item_id"": ""9"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
4,Massage Phan Rang trị liệu Trâm Lê Spa,,"15 Lê Hồng Phong, Phan Rang, Thành phố Phan Rang-Tháp Chàm, Ninh Thuận",39,khac,0.0,0.0,0.0,,,0906692728,,0.0,0,0,,2026-05-27 16:51:52,2026-05-27 16:51:52,active,"{""category"": ""cssk"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/cssk/?item=12"", ""email"": ""tramle2108@gmail.com"", ""item_id"": ""12"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
5,Sunny Spa Phan Rang trị liệu massage,,"Lô 41/28 Liền kề, Khu K1, Thành phố Phan Rang-Tháp Chàm, Ninh Thuận",39,khac,0.0,0.0,0.0,,,0933450401,,0.0,0,0,,2026-05-27 16:51:52,2026-05-27 16:51:52,active,"{""category"": ""cssk"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/cssk/?item=15"", ""email"": ""Dieutrid@gmail.com"", ""item_id"": ""15"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
6,Spa IDol 2 Massage Phan Rang,,"30A2 Nguyễn Thị Minh Khai, Thành phố Phan Rang-Tháp Chàm, Ninh Thuận",39,khac,0.0,0.0,0.0,,,0784001777,,0.0,0,0,,2026-05-27 16:51:52,2026-05-27 16:51:52,active,"{""category"": ""cssk"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/cssk/?item=18"", ""email"": """", ""item_id"": ""18"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
7,Diva Spa,,"Căn PG1 - 10 Khu nhà phố Vincom, đường số 5, Sa Đéc, Thành phố Sa Đéc",22,khac,0.0,0.0,0.0,,,,https://www.vienthammydiva.vn,0.0,0,0,,2026-05-27 16:51:52,2026-05-27 16:51:52,active,"{""category"": ""cssk"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/cssk/?item=6"", ""email"": """", ""item_id"": ""6"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
8,Mũi Né Johnny Spa,,"57 Nguyễn Đình Chiểu, Mũi Né, Thành phố Phan Thiết, Bình Thuận",10,khac,0.0,0.0,0.0,,,0368183059,https://muinejohnnyspa.com/,0.0,0,0,,2026-05-27 16:51:52,2026-05-27 16:51:52,active,"{""category"": ""cssk"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/cssk/?item=33"", ""email"": ""johnnyspa57@gmail.com"", ""item_id"": ""33"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
9,Viện Thẩm Mỹ Dr.Sen,,"SN21, Đường DT 741, Thị xã Đồng Xoài, Bình Phước",9,khac,0.0,0.0,0.0,,,0336063397,,0.0,0,0,,2026-05-27 16:51:52,2026-05-27 16:51:52,active,"{""category"": ""cssk"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/cssk/?item=27"", ""email"": """", ""item_id"": ""27"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
10,Kay Spa,,"Số 382 đường 30/4, Thành phố Tây Ninh",49,khac,0.0,0.0,0.0,,,,,0.0,0,0,,2026-05-27 16:51:52,2026-05-27 16:51:52,active,"{""category"": ""cssk"", ""detail_url"": ""https://csdl.vietnamtourism.gov.vn/cssk/?item=30"", ""email"": """", ""item_id"": ""30"", ""source"": ""csdl.vietnamtourism.gov.vn""}",
